stage,episode,seed,episode_reward,total_score,completed_tasks,overdue_tasks,timeout_rate,total_distance,simulation_failed,steps,actor_loss,critic_loss,entropy
medium,122,20260524,1827.9145,1806.36,147,69,0.4259,3032.6,False,800,-0.000306,3869.257318,0.006097
medium,123,20260525,3562.7007,3556.22,154,53,0.3272,2944.2,False,800,-0.000427,2992.888502,0.00847
medium,124,20260526,5667.5776,5652.39,151,36,0.2222,3031.7,False,800,-0.000608,2694.521327,0.009028
medium,125,20260527,3912.0259,3904.02,140,54,0.3333,2965.0,False,800,-0.000151,4345.559858,0.010001
medium,126,20260528,3880.3244,3811.14,149,48,0.2963,3108.1,False,800,-7.1e-05,3855.477651,0.008226
medium,127,20260529,6287.934,6297.02,150,28,0.1728,2960.7,False,800,-0.000136,3927.993706,0.013182
medium,128,20260530,6972.8055,6935.53,153,20,0.1235,2992.7,False,800,-0.000186,3835.221025,0.009069
medium,129,20260531,543.308,519.94,140,79,0.4877,2965.0,False,800,-0.000109,4135.041062,0.011375
medium,130,20260532,7278.8226,7272.33,152,21,0.1296,2951.5,False,800,-3.9e-05,3476.94083,0.010603
medium,131,20260533,1395.6191,1337.12,154,73,0.4506,3095.4,False,800,-0.000255,2881.84603,0.013812
medium,132,20260534,3196.0967,3129.01,153,56,0.3457,3150.2,False,800,-0.000135,2820.543228,0.009756
medium,133,20260535,-1145.0594,-1198.79,137,88,0.5432,3078.6,False,800,4.3e-05,4246.981443,0.018508
medium,134,20260536,4463.8258,4429.85,154,42,0.2593,3049.8,False,800,-0.000113,3643.398367,0.010993
medium,135,20260537,-1923.9591,-1993.06,153,101,0.6235,3118.0,False,800,-0.000171,4165.429358,0.015085
medium,136,20260538,5224.9651,5194.85,149,37,0.2284,2991.5,False,800,-0.000196,4436.276833,0.009361
medium,137,20260539,6352.8289,6322.16,156,26,0.1605,3022.6,False,800,-0.000118,4651.596833,0.005525
medium,138,20260540,1824.7721,1776.12,153,69,0.4259,3121.9,False,800,-0.000188,3987.993833,0.008502
medium,139,20260541,2046.4061,1991.69,154,65,0.4012,3046.4,False,800,-4.1e-05,6618.048669,0.007863
medium,140,20260542,5727.3677,5671.55,155,24,0.1481,3015.5,False,800,-0.000133,4486.445532,0.006321
medium,141,20260543,2222.3057,2173.72,145,63,0.3889,3022.2,False,800,-3.4e-05,5837.871057,0.008029
medium,142,20260544,5775.5026,5715.34,152,33,0.2037,3067.0,False,800,-0.000102,3347.790266,0.006068
medium,143,20260545,5877.2164,5830.19,154,28,0.1728,3140.1,False,800,-0.000198,2883.50348,0.006287
medium,144,20260546,-169.3478,-217.58,148,82,0.5062,3135.1,False,800,-0.000561,3520.897452,0.01163
medium,145,20260547,9378.1947,9373.36,159,8,0.0494,2915.0,False,800,-0.000459,5505.210244,0.009087
medium,146,20260548,1345.2481,1322.2,152,74,0.4568,3045.2,False,800,-0.00095,5024.077126,0.017525
medium,147,20260549,1117.0053,1069.25,140,72,0.4444,2967.2,False,800,4.5e-05,8046.706304,0.01887
medium,148,20260550,4628.3468,4564.29,152,46,0.284,3109.8,False,800,-0.000301,3693.777878,0.011108
medium,149,20260551,4297.1468,4244.66,155,42,0.2593,2998.7,False,800,-7.3e-05,4224.747104,0.011509
medium,150,20260552,4993.3915,4923.17,157,34,0.2099,3126.7,False,800,6.9e-05,4857.212344,0.007346
