tick,scale_name,candidate_task_count,candidate_vehicle_count,iteration_count,planning_time_ms,initial_score,best_score,score_improvement,initial_distance,best_distance,initial_lateness,best_lateness,initial_unassigned,best_unassigned,accepted_count,best_destroy,best_repair,destroy_weights,repair_weights
415,large,7,1,120,0.05,-56.0,-56.0,0.0,0.0,0.0,0.0,0.0,7,7,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
416,large,7,1,120,2.36,-34.67,-34.67,0.0,25.2,25.2,0.0,0.0,6,6,120,,,"[2.45, 2.35, 2.1, 3.1]","[2.7, 2.1, 3.0, 2.2]"
417,large,6,2,120,0.05,-48.0,-48.0,0.0,0.0,0.0,0.0,0.0,6,6,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
418,large,6,2,120,0.05,-48.0,-48.0,0.0,0.0,0.0,0.0,0.0,6,6,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
419,large,6,2,120,0.05,-48.0,-48.0,0.0,0.0,0.0,0.0,0.0,6,6,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
420,large,6,4,120,0.08,-48.0,-48.0,0.0,0.0,0.0,0.0,0.0,6,6,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
421,large,6,4,120,0.06,-48.0,-48.0,0.0,0.0,0.0,0.0,0.0,6,6,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
422,large,8,4,120,6.18,-18.43,-18.43,0.0,26.4,26.4,0.0,0.0,6,6,120,,,"[2.5, 2.3, 2.4, 2.8]","[2.8, 1.9, 2.55, 2.75]"
423,large,6,2,120,0.04,-48.0,-48.0,0.0,0.0,0.0,0.0,0.0,6,6,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
424,large,8,5,120,3.37,-42.96,-42.96,0.0,17.6,17.6,0.0,0.0,7,7,120,,,"[3.05, 2.45, 1.55, 2.95]","[2.8, 2.55, 2.4, 2.25]"
425,large,7,7,120,0.09,-56.0,-56.0,0.0,0.0,0.0,0.0,0.0,7,7,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
426,large,7,8,120,0.1,-56.0,-56.0,0.0,0.0,0.0,0.0,0.0,7,7,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
427,large,7,8,120,0.1,-56.0,-56.0,0.0,0.0,0.0,0.0,0.0,7,7,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
428,large,7,8,120,0.1,-56.0,-56.0,0.0,0.0,0.0,0.0,0.0,7,7,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
429,large,7,8,120,0.1,-56.0,-56.0,0.0,0.0,0.0,0.0,0.0,7,7,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
430,large,8,8,120,0.12,-64.0,-64.0,0.0,0.0,0.0,0.0,0.0,8,8,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
431,large,8,8,120,4.99,-24.5,-24.5,0.0,66.4,66.4,0.0,0.0,6,6,120,,,"[2.4, 3.05, 2.05, 2.5]","[2.55, 2.6, 2.55, 2.3]"
432,large,6,6,120,0.08,-48.0,-48.0,0.0,0.0,0.0,0.0,0.0,6,6,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
433,large,7,6,120,8.13,-32.91,-32.91,0.0,7.8,7.8,0.0,0.0,6,6,120,,,"[2.45, 2.85, 1.9, 2.8]","[2.5, 2.9, 2.45, 2.15]"
434,large,7,6,120,6.33,-10.22,-10.22,0.0,41.0,41.0,0.0,0.0,5,5,120,,,"[3.1, 1.85, 2.35, 2.7]","[3.25, 2.55, 2.15, 2.05]"
435,large,5,4,120,0.06,-40.0,-40.0,0.0,0.0,0.0,0.0,0.0,5,5,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
436,large,5,4,120,0.05,-40.0,-40.0,0.0,0.0,0.0,0.0,0.0,5,5,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
437,large,6,5,120,4.01,-28.23,-28.23,0.0,40.2,40.2,0.0,0.0,5,5,120,,,"[2.05, 2.7, 2.45, 2.8]","[2.35, 2.75, 2.7, 2.2]"
438,large,5,4,120,2.98,-21.15,-21.15,0.0,41.0,41.0,0.0,0.0,4,4,120,,,"[2.35, 2.9, 2.55, 2.2]","[2.65, 2.05, 2.6, 2.7]"
439,large,4,3,120,0.05,-32.0,-32.0,0.0,0.0,0.0,0.0,0.0,4,4,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
